Education,Marital_Status,Income,Recency,wines,fruits,meat,fist,sweets,golds,DealsPurchases,onlinePurchases,CatalogPurchases,StorePurchases,NumWebVisitsMonth,month_enroll,Generation,Age,Childrens,Compaigns_Engagement,Income_to_Spending_Ratio,Cluster,Cluster_Category
Postgraduate,Alone,22944.0,67,19,3,19,4,5,26,3,3,0,3,7,12,Millennials,44,1,0,301.89473684210526,1,Low Spender
Postgraduate,Partner,25315.0,46,1,9,8,11,3,22,3,3,0,3,8,11,Gen X,48,1,0,468.7962962962963,1,Low Spender
Undergraduate,Alone,43638.0,37,63,10,83,7,19,19,2,4,1,4,7,8,Gen X,56,1,0,217.1044776119403,0,Moderate Spender
PhD,Alone,42710.0,38,252,3,42,4,3,102,2,4,5,3,6,11,Millennials,41,1,0,105.19704433497536,0,Moderate Spender
PhD,Partner,84169.0,9,1478,19,403,0,19,0,1,7,6,6,3,8,Millennials,43,0,2,43.86086503387181,2,High Spender
Undergraduate,Partner,54058.0,56,198,18,252,32,108,54,2,4,6,8,3,6,Gen X,49,1,0,81.65861027190333,0,Moderate Spender
Postgraduate,Partner,24683.0,98,8,4,10,6,7,6,2,2,0,4,5,3,Millennials,35,1,0,602.0243902439024,1,Low Spender
Undergraduate,Alone,85620.0,68,416,46,925,60,107,46,1,3,6,4,1,1,Baby Boomers,61,0,0,53.5125,2,High Spender
Undergraduate,Partner,47850.0,72,42,7,43,20,12,10,1,3,0,4,6,12,Gen X,45,1,0,357.089552238806,0,Moderate Spender
Undergraduate,Partner,19514.0,47,14,3,21,2,1,28,4,3,1,2,8,1,Gen X,57,2,1,282.81159420289856,1,Low Spender
Postgraduate,Partner,27159.0,33,17,0,3,0,0,1,2,1,0,3,6,3,Gen X,52,2,0,969.270749587855,1,Low Spender
Postgraduate,Alone,39548.0,87,15,4,10,3,4,18,2,1,1,3,3,3,Baby Boomers,62,2,0,732.3703703703703,1,Low Spender
Undergraduate,Alone,21474.0,0,6,16,24,11,0,34,2,3,1,2,7,4,Millennials,36,1,1,235.978021978022,1,Low Spender
PhD,Alone,60504.0,73,458,0,24,6,4,34,2,6,2,8,6,2,Gen X,54,1,0,115.02661596958175,0,Moderate Spender
Undergraduate,Partner,22419.0,74,30,3,47,19,21,42,1,3,2,2,8,4,Baby Boomers,62,0,0,138.38888888888889,1,Low Spender
Postgraduate,Partner,81698.0,4,179,28,520,111,123,47,1,3,8,13,1,11,Baby Boomers,76,0,0,81.04960317460318,2,High Spender
Undergraduate,Partner,43462.0,50,90,17,97,15,6,15,6,4,1,5,8,9,Baby Boomers,73,2,0,181.09166666666667,0,Moderate Spender
PhD,Alone,54880.0,57,308,85,137,102,45,118,2,6,2,11,5,3,Gen X,47,1,0,69.03144654088051,0,Moderate Spender
Undergraduate,Partner,79908.0,30,557,129,761,29,185,111,1,5,6,7,2,4,Millennials,43,0,1,45.09480812641083,2,High Spender
Postgraduate,Partner,15315.0,27,7,4,13,15,8,17,2,2,0,4,5,8,Gen X,55,0,0,239.296875,1,Low Spender
Undergraduate,Partner,87771.0,61,1492,38,287,50,57,33,1,5,10,4,6,5,Baby Boomers,66,1,4,44.84977005620848,2,High Spender
Undergraduate,Partner,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,9,Gen X,47,1,0,423.5769230769231,1,Low Spender
Undergraduate,Alone,81741.0,75,249,153,940,58,134,38,0,6,6,7,2,6,Gen X,45,0,0,51.99809160305343,2,High Spender
Postgraduate,Partner,71499.0,12,465,25,132,136,0,37,2,8,3,13,4,6,Gen X,54,1,0,89.93584905660377,2,High Spender
Postgraduate,Partner,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,1,Gen X,55,1,0,70.26546681664792,0,Moderate Spender
PhD,Alone,48799.0,9,174,18,81,28,6,24,3,3,2,7,3,11,Baby Boomers,62,1,0,147.42900302114805,0,Moderate Spender
PhD,Partner,52157.0,48,189,2,29,3,2,40,2,3,2,5,4,6,Baby Boomers,75,1,0,196.8188679245283,0,Moderate Spender
Undergraduate,Alone,66565.0,80,747,10,161,65,40,42,4,4,2,9,8,12,Baby Boomers,63,1,0,62.502347417840376,2,High Spender
Postgraduate,Partner,29298.0,60,6,0,2,2,0,1,1,1,0,2,5,9,Baby Boomers,74,2,0,969.270749587855,1,Low Spender
Undergraduate,Alone,47691.0,43,14,0,3,0,0,4,1,1,0,2,6,7,Gen X,46,1,0,969.270749587855,0,Moderate Spender
Undergraduate,Partner,38200.0,19,12,0,4,0,0,1,1,1,0,2,7,12,Gen X,55,2,0,969.270749587855,1,Low Spender
Undergraduate,Partner,44989.0,26,98,0,106,49,10,106,5,5,1,5,6,9,Gen X,51,1,0,121.92140921409214,0,Moderate Spender
PhD,Partner,38443.0,58,32,0,5,0,0,1,2,1,0,3,7,1,Gen X,57,2,0,969.270749587855,1,Low Spender
Postgraduate,Alone,38593.0,42,51,12,49,17,24,24,3,4,1,3,8,9,Gen X,47,1,0,218.0395480225989,1,Low Spender
PhD,Partner,64413.0,27,200,5,44,0,10,20,1,5,1,5,5,8,Gen X,55,1,0,230.8709677419355,2,High Spender
Postgraduate,Partner,36959.0,56,25,6,25,6,0,0,2,2,0,3,8,10,Millennials,44,1,0,596.1129032258065,1,Low Spender
PhD,Partner,61996.0,27,1050,12,144,0,0,24,3,6,4,8,5,1,Gen X,48,1,3,50.40325203252033,0,Moderate Spender
Undergraduate,Partner,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,4,Gen X,57,2,0,281.7967032967033,0,Moderate Spender
Undergraduate,Partner,13260.0,48,9,4,17,10,2,7,4,3,0,3,8,8,Gen X,55,2,0,270.6122448979592,1,Low Spender
PhD,Partner,47472.0,39,56,0,11,0,0,8,2,2,0,4,5,9,Gen X,59,2,0,632.96,0,Moderate Spender
Postgraduate,Partner,54603.0,85,145,13,46,17,2,4,6,4,2,4,7,7,Baby Boomers,69,2,0,240.5418502202643,0,Moderate Spender
PhD,Partner,45207.0,64,203,0,10,0,0,2,5,3,1,6,6,11,Gen X,51,2,1,210.26511627906976,0,Moderate Spender
Undergraduate,Partner,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,3,Baby Boomers,74,1,0,91.64189189189187,0,Moderate Spender
Postgraduate,Partner,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,10,Gen X,58,2,0,969.270749587855,0,Moderate Spender
Postgraduate,Partner,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,4,Baby Boomers,74,0,0,191.95804195804195,1,Low Spender
Undergraduate,Partner,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,4,Millennials,42,1,0,717.3272727272728,1,Low Spender
Postgraduate,Partner,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,4,Gen X,54,2,0,426.1904761904762,1,Low Spender
Undergraduate,Alone,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,9,Baby Boomers,70,0,3,42.74236743438672,2,High Spender
Postgraduate,Partner,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,9,Baby Boomers,64,1,0,101.13584288052373,0,Moderate Spender
Undergraduate,Partner,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,5,Baby Boomers,70,1,1,113.8752642706131,0,Moderate Spender
Undergraduate,Partner,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,8,Baby Boomers,66,0,0,440.3818181818182,1,Low Spender
PhD,Alone,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,10,Millennials,41,1,0,489.9259259259259,1,Low Spender
Postgraduate,Partner,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,12,Gen X,50,0,2,44.1816874400767,2,High Spender
Postgraduate,Alone,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,11,Gen X,60,0,0,47.28146143437077,2,High Spender
Undergraduate,Partner,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,1,Gen X,48,1,0,677.1020408163265,1,Low Spender
PhD,Partner,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,9,Gen X,53,0,0,156.9973821989529,0,Moderate Spender
Postgraduate,Partner,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,9,Gen X,50,1,0,253.0289855072464,1,Low Spender
Undergraduate,Alone,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,10,Gen X,56,1,0,356.86567164179104,1,Low Spender
Postgraduate,Partner,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,10,Gen X,56,2,0,969.270749587855,0,Moderate Spender
Postgraduate,Partner,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,6,Gen X,47,1,0,416.25396825396825,1,Low Spender
Undergraduate,Partner,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,8,Millennials,44,1,0,393.53164556962025,1,Low Spender
Undergraduate,Alone,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,2,Baby Boomers,64,1,0,716.2142857142857,1,Low Spender
Undergraduate,Partner,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,8,Baby Boomers,65,1,0,76.68742368742369,0,Moderate Spender
Undergraduate,Alone,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,9,Baby Boomers,70,0,0,63.341442224152914,2,High Spender
PhD,Partner,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,12,Baby Boomers,77,2,0,103.47979797979798,0,Moderate Spender
Postgraduate,Partner,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,1,Gen X,59,2,0,384.6356589147287,0,Moderate Spender
Postgraduate,Alone,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,12,Millennials,39,1,0,102.7605633802817,1,Low Spender
Undergraduate,Alone,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,2,Gen X,52,1,0,633.2686567164179,0,Moderate Spender
Undergraduate,Alone,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,3,Baby Boomers,69,3,0,933.9285714285714,1,Low Spender
Undergraduate,Partner,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,10,Gen X,50,1,0,684.4666666666667,1,Low Spender
Undergraduate,Partner,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,5,Gen X,60,0,1,68.03688181056161,2,High Spender
Postgraduate,Alone,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,8,Gen X,56,0,0,100.28731343283582,1,Low Spender
Postgraduate,Alone,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,7,Silent Generation,81,0,0,169.1954887218045,0,Moderate Spender
Undergraduate,Partner,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,12,Gen X,52,1,0,512.918918918919,1,Low Spender
Undergraduate,Partner,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,10,Gen X,58,3,0,610.1081081081081,1,Low Spender
PhD,Alone,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,11,Gen X,56,0,0,54.69387755102041,0,Moderate Spender
Undergraduate,Partner,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,7,Gen X,51,2,0,122.88739946380696,0,Moderate Spender
Postgraduate,Alone,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,5,Gen X,60,3,0,969.270749587855,1,Low Spender
PhD,Partner,118350.5,31,85,1,16,2,1,2,0,0,0,1,1,6,Gen X,49,2,0,969.270749587855,2,High Spender
Undergraduate,Alone,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,3,Gen X,47,2,0,969.270749587855,0,Moderate Spender
Postgraduate,Partner,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,8,Baby Boomers,65,1,0,93.62576687116564,1,Low Spender
PhD,Partner,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,7,Baby Boomers,64,1,0,134.79207920792078,0,Moderate Spender
Undergraduate,Alone,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,7,Gen X,54,0,0,332.9684210526316,1,Low Spender
Undergraduate,Alone,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,3,Baby Boomers,76,0,2,76.99467518636848,2,High Spender
Postgraduate,Alone,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,12,Gen X,47,1,0,969.270749587855,1,Low Spender
Postgraduate,Partner,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,6,Baby Boomers,70,0,1,74.04179408766565,2,High Spender
Undergraduate,Partner,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,1,Gen X,49,1,0,378.44444444444446,1,Low Spender
Undergraduate,Alone,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,6,Gen X,50,1,0,68.06467259498787,2,High Spender
Undergraduate,Partner,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,9,Baby Boomers,65,1,0,38.88821917808219,2,High Spender
PhD,Alone,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,9,Gen X,48,2,0,334.8252427184466,1,Low Spender
Undergraduate,Alone,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,12,Gen X,48,1,0,150.62303664921467,1,Low Spender
PhD,Partner,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,11,Gen X,55,1,0,43.558638083228246,2,High Spender
PhD,Partner,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,6,Baby Boomers,67,0,0,68.00415368639668,2,High Spender
Postgraduate,Partner,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,1,Gen X,55,1,0,70.26546681664792,0,Moderate Spender
Postgraduate,Alone,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,2,Baby Boomers,65,0,1,346.4301075268817,1,Low Spender
Undergraduate,Alone,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,4,Gen X,52,0,0,52.87775677378702,2,High Spender
Undergraduate,Alone,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,3,Baby Boomers,63,3,0,969.270749587855,0,Moderate Spender
Undergraduate,Alone,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,6,Baby Boomers,73,0,0,61.50836363636363,2,High Spender
Undergraduate,Partner,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,1,Baby Boomers,63,1,0,142.95419847328245,0,Moderate Spender
Postgraduate,Alone,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,9,Baby Boomers,75,1,0,42.73527420446852,0,Moderate Spender
Undergraduate,Partner,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,11,Gen X,54,1,1,62.50296861747243,2,High Spender
Undergraduate,Partner,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,10,Baby Boomers,65,1,0,63.06567164179104,0,Moderate Spender
PhD,Partner,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,5,Baby Boomers,77,0,0,56.48367952522255,2,High Spender
PhD,Alone,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,12,Baby Boomers,66,1,0,48.09410864575364,0,Moderate Spender
Undergraduate,Alone,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,5,Baby Boomers,61,1,1,94.45679012345678,0,Moderate Spender
Postgraduate,Partner,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,3,Baby Boomers,78,0,2,34.47246891651865,2,High Spender
PhD,Partner,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,8,Gen X,54,2,0,197.7148936170213,0,Moderate Spender
Undergraduate,Partner,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,1,Gen X,55,0,2,61.17807424593968,2,High Spender
Postgraduate,Alone,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,12,Gen X,55,1,0,235.24255319148932,0,Moderate Spender
Postgraduate,Partner,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,5,Gen X,48,1,0,72.07875457875458,2,High Spender
Undergraduate,Partner,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,9,Baby Boomers,67,1,0,111.6627712854758,2,High Spender
Postgraduate,Alone,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,2,Baby Boomers,65,0,1,49.19173306772908,2,High Spender
Undergraduate,Partner,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,8,Millennials,40,1,0,606.3125,1,Low Spender
Undergraduate,Partner,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,8,Gen X,51,1,0,57.44889267461669,2,High Spender
PhD,Partner,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,4,Baby Boomers,75,1,0,755.4626865671642,0,Moderate Spender
Undergraduate,Alone,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,8,Baby Boomers,70,1,0,135.42739726027398,0,Moderate Spender
Undergraduate,Alone,118350.5,81,1,1,1,1,1,1,0,0,0,0,0,2,Gen X,50,0,0,969.270749587855,2,High Spender
Undergraduate,Partner,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,1,Baby Boomers,72,1,0,371.3818181818182,0,Moderate Spender
Postgraduate,Partner,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,9,Baby Boomers,67,0,0,126.14285714285714,1,Low Spender
PhD,Partner,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,8,Baby Boomers,78,1,0,66.72054794520548,2,High Spender
PhD,Alone,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,10,Gen X,59,3,1,209.5695067264574,0,Moderate Spender
Undergraduate,Partner,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,12,Baby Boomers,62,1,0,94.22613065326634,0,Moderate Spender
Undergraduate,Partner,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,11,Millennials,40,1,0,908.4545454545456,1,Low Spender
Undergraduate,Alone,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,12,Gen X,50,1,0,54.82142857142857,0,Moderate Spender
Undergraduate,Partner,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,9,Gen X,45,0,0,350.8783783783784,1,Low Spender
Postgraduate,Partner,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,1,Baby Boomers,69,0,0,563.8846153846154,1,Low Spender
Undergraduate,Partner,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,12,Baby Boomers,66,0,0,311.5,1,Low Spender
PhD,Partner,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,5,Gen X,51,1,0,969.270749587855,0,Moderate Spender
Undergraduate,Alone,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,9,Millennials,38,1,0,357.0,1,Low Spender
PhD,Partner,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,5,Gen X,57,1,0,858.4411764705883,1,Low Spender
Postgraduate,Partner,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,11,Gen X,54,2,0,276.2121212121212,0,Moderate Spender
PhD,Partner,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,7,Baby Boomers,61,1,0,56.58778625954199,0,Moderate Spender
Postgraduate,Alone,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,11,Baby Boomers,63,2,0,103.2177700348432,0,Moderate Spender
Undergraduate,Alone,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,9,Gen X,55,1,0,64.85034013605443,2,High Spender
Undergraduate,Partner,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,12,Gen X,45,1,0,115.45223880597015,2,High Spender
PhD,Alone,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,12,Gen X,50,1,0,53.14545454545455,0,Moderate Spender
Undergraduate,Partner,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,5,Gen X,51,2,0,969.270749587855,1,Low Spender
PhD,Partner,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,10,Baby Boomers,62,1,1,65.51168412570507,2,High Spender
Undergraduate,Alone,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,1,Gen X,46,0,0,122.11284722222224,2,High Spender
Postgraduate,Partner,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,6,Millennials,40,1,1,210.1453488372093,1,Low Spender
PhD,Alone,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,12,Gen X,45,0,0,98.33584337349396,2,High Spender
Undergraduate,Alone,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,10,Baby Boomers,62,1,0,73.40301724137932,2,High Spender
Undergraduate,Alone,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,8,Gen X,58,0,0,33.14513018322083,2,High Spender
Postgraduate,Partner,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,7,Millennials,43,0,0,87.87794432548179,0,Moderate Spender
Undergraduate,Partner,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,10,Baby Boomers,70,1,0,151.5408560311284,1,Low Spender
Undergraduate,Partner,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,12,Gen X,58,0,0,57.39703315881327,2,High Spender
PhD,Alone,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,3,Gen X,49,1,0,96.48185776487664,2,High Spender
PhD,Alone,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,9,Gen X,53,0,0,41.08656575212866,2,High Spender
PhD,Partner,118350.5,21,55,16,1622,17,3,4,15,0,28,1,0,8,Millennials,43,0,0,93.65346534653466,2,High Spender
PhD,Partner,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,5,Millennials,36,0,2,57.83432392273403,2,High Spender
PhD,Partner,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,9,Gen X,56,0,0,66.5478927203065,2,High Spender
PhD,Alone,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,10,Baby Boomers,65,1,1,102.65922920892496,0,Moderate Spender
Undergraduate,Alone,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,8,Gen X,55,0,0,63.95924764890282,0,Moderate Spender
Postgraduate,Partner,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,7,Baby Boomers,67,1,0,156.72222222222223,0,Moderate Spender
Undergraduate,Partner,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,11,Baby Boomers,73,0,0,451.1724137931034,1,Low Spender
Postgraduate,Alone,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,5,Baby Boomers,76,2,0,393.1404958677686,0,Moderate Spender
Postgraduate,Partner,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,7,Baby Boomers,64,2,0,491.45238095238096,0,Moderate Spender
Undergraduate,Alone,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,3,Millennials,30,0,0,969.270749587855,1,Low Spender
PhD,Alone,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,4,Baby Boomers,76,2,0,465.2280701754386,1,Low Spender
Undergraduate,Alone,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,11,Baby Boomers,64,0,0,72.22955974842768,0,Moderate Spender
Undergraduate,Partner,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,4,Baby Boomers,65,0,1,78.15537848605578,2,High Spender
Undergraduate,Alone,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,9,Gen X,52,1,0,107.49455040871936,2,High Spender
Undergraduate,Partner,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,3,Gen X,47,2,0,116.33061889250814,2,High Spender
Undergraduate,Alone,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,2,Gen X,47,1,1,48.87955953200275,2,High Spender
Postgraduate,Alone,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,4,Millennials,37,0,3,55.673658235657,2,High Spender
Postgraduate,Alone,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,12,Gen X,57,1,0,221.0427807486631,0,Moderate Spender
Undergraduate,Partner,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,Millennials,39,1,2,49.86278586278586,2,High Spender
PhD,Alone,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,6,Gen X,55,1,0,626.0,1,Low Spender
Undergraduate,Alone,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,4,Baby Boomers,74,1,0,67.79434850863423,0,Moderate Spender
PhD,Partner,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,11,Baby Boomers,77,1,1,70.01582278481013,2,High Spender
Postgraduate,Partner,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,Gen X,54,1,1,596.2372881355932,1,Low Spender
Undergraduate,Partner,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,7,Millennials,39,1,0,969.270749587855,1,Low Spender
Postgraduate,Alone,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,10,Gen X,60,1,0,61.18493909191584,0,Moderate Spender
Undergraduate,Alone,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,2,Gen X,50,1,0,296.86607142857144,1,Low Spender
Undergraduate,Partner,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,5,Baby Boomers,72,0,0,97.98322147651008,0,Moderate Spender
Undergraduate,Partner,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,8,Millennials,43,1,0,215.7596566523605,0,Moderate Spender
PhD,Partner,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,12,Gen X,50,0,0,50.70681667769689,2,High Spender
Postgraduate,Alone,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,9,Baby Boomers,65,0,1,75.78559027777777,2,High Spender
Undergraduate,Partner,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,2,Gen X,47,1,0,538.5625,1,Low Spender
Undergraduate,Alone,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,3,Gen X,55,1,0,49.54430379746835,0,Moderate Spender
Undergraduate,Alone,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,3,Baby Boomers,67,2,0,969.270749587855,0,Moderate Spender
Postgraduate,Partner,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,12,Gen X,60,1,0,77.51917098445595,2,High Spender
Undergraduate,Partner,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,5,Baby Boomers,71,0,0,68.02186421173764,0,Moderate Spender
PhD,Partner,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,5,Millennials,41,1,0,969.270749587855,1,Low Spender
Undergraduate,Partner,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,2,Gen X,60,0,0,37.07755521314844,2,High Spender
Undergraduate,Partner,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,8,Gen X,49,1,1,105.6338028169014,1,Low Spender
Undergraduate,Partner,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,6,Gen X,59,1,0,689.1384615384616,0,Moderate Spender
Undergraduate,Partner,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,11,Baby Boomers,70,0,1,58.2572463768116,2,High Spender
Postgraduate,Alone,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,1,Gen X,49,0,0,73.03992210321324,2,High Spender
Postgraduate,Partner,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,10,Gen X,60,3,0,138.59367396593674,0,Moderate Spender
Undergraduate,Partner,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,4,Millennials,34,0,1,107.52511961722487,2,High Spender
PhD,Alone,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,9,Baby Boomers,76,2,0,969.270749587855,1,Low Spender
PhD,Partner,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,8,Baby Boomers,72,2,0,111.65208333333334,0,Moderate Spender
Undergraduate,Partner,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,6,Gen X,47,2,0,109.52640264026402,2,High Spender
PhD,Alone,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,10,Baby Boomers,77,3,0,158.70422535211267,0,Moderate Spender
Undergraduate,Alone,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,10,Gen X,52,2,3,60.93342391304348,2,High Spender
Undergraduate,Partner,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,4,Baby Boomers,76,0,3,42.94871794871795,2,High Spender
Undergraduate,Partner,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,3,Gen X,52,1,0,50.51086142322097,2,High Spender
Postgraduate,Partner,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,6,Baby Boomers,73,1,0,211.2125748502994,2,High Spender
