Education,Marital_Status,Income,Recency,wines,fruits,meat,fist,sweets,golds,DealsPurchases,onlinePurchases,CatalogPurchases,StorePurchases,NumWebVisitsMonth,Age,Childrens,Spending-to-Income-Ratio,Cluster,Cluster_Category
Undergraduate,Alone,76982.0,19,464,151,292,65,60,30,1,8,3,4,4,58,0,1.3795432698552907,1,Moderate Spenders
Postgraduate,Partner,57247.0,50,99,4,32,37,54,6,2,2,1,7,2,73,1,0.4052614110783097,1,Moderate Spenders
Postgraduate,Alone,22944.0,67,19,3,19,4,5,26,3,3,0,3,7,44,1,0.3312412831241283,0,Low Spenders
Postgraduate,Partner,25315.0,46,1,9,8,11,3,22,3,3,0,3,8,48,1,0.2133122654552637,0,Low Spenders
Undergraduate,Alone,43638.0,37,63,10,83,7,19,19,2,4,1,4,7,56,1,0.4606077272102296,0,Low Spenders
PhD,Alone,42710.0,38,252,3,42,4,3,102,2,4,5,3,6,41,1,0.9505970498712246,0,Low Spenders
PhD,Partner,84169.0,9,1478,19,403,0,19,0,1,7,6,6,3,43,0,2.279936793831458,1,Moderate Spenders
Undergraduate,Partner,54058.0,56,198,18,252,32,108,54,2,4,6,8,3,49,1,1.22461060342595,1,Moderate Spenders
Postgraduate,Partner,24683.0,98,8,4,10,6,7,6,2,2,0,4,5,35,1,0.1661062269578252,0,Low Spenders
Undergraduate,Alone,85620.0,68,416,46,925,60,107,46,1,3,6,4,1,61,0,1.868722261153936,1,Moderate Spenders
Undergraduate,Partner,47850.0,72,42,7,43,20,12,10,1,3,0,4,6,45,1,0.2800417972831766,0,Low Spenders
Undergraduate,Partner,19514.0,47,14,3,21,2,1,28,4,3,1,2,8,57,2,0.353592292712924,0,Low Spenders
Postgraduate,Partner,27159.0,33,17,0,3,0,0,1,2,1,0,3,6,52,2,0.0773224345520821,0,Low Spenders
Postgraduate,Alone,39548.0,87,15,4,10,3,4,18,2,1,1,3,3,62,2,0.1365429351673915,0,Low Spenders
Undergraduate,Alone,21474.0,0,6,16,24,11,0,34,2,3,1,2,7,36,1,0.4237682779174816,0,Low Spenders
PhD,Alone,60504.0,73,458,0,24,6,4,34,2,6,2,8,6,54,1,0.8693640089911411,1,Moderate Spenders
Undergraduate,Partner,22419.0,74,30,3,47,19,21,42,1,3,2,2,8,62,0,0.7226013649136892,0,Low Spenders
Postgraduate,Partner,81698.0,4,179,28,520,111,123,47,1,3,8,13,1,76,0,1.2338123332272517,1,Moderate Spenders
Undergraduate,Partner,43462.0,50,90,17,97,15,6,15,6,4,1,5,8,73,2,0.5522065252404399,0,Low Spenders
PhD,Alone,54880.0,57,308,85,137,102,45,118,2,6,2,11,5,47,1,1.4486151603498545,1,Moderate Spenders
Undergraduate,Partner,79908.0,30,557,129,761,29,185,111,1,5,6,7,2,43,0,2.2175501827101165,1,Moderate Spenders
Postgraduate,Partner,15315.0,27,7,4,13,15,8,17,2,2,0,4,5,55,0,0.4178909565785178,0,Low Spenders
Undergraduate,Partner,87771.0,61,1492,38,287,50,57,33,1,5,10,4,6,66,1,2.2296658349568763,1,Moderate Spenders
Undergraduate,Partner,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,47,1,0.2360846272586942,0,Low Spenders
Undergraduate,Alone,81741.0,75,249,153,940,58,134,38,0,6,6,7,2,45,0,1.9231475024773368,1,Moderate Spenders
Postgraduate,Partner,71499.0,12,465,25,132,136,0,37,2,8,3,13,4,54,1,1.1119036629882937,1,Moderate Spenders
Postgraduate,Partner,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,55,1,1.423174206768482,1,Moderate Spenders
PhD,Alone,48799.0,9,174,18,81,28,6,24,3,3,2,7,3,62,1,0.6782925879628681,0,Low Spenders
PhD,Partner,52157.0,48,189,2,29,3,2,40,2,3,2,5,4,75,1,0.5080813697106812,0,Low Spenders
Undergraduate,Alone,66565.0,80,747,10,161,65,40,42,4,4,2,9,8,63,1,1.5999399083602497,1,Moderate Spenders
Postgraduate,Partner,29298.0,60,6,0,2,2,0,1,1,1,0,2,5,74,2,0.0375452249300293,0,Low Spenders
Undergraduate,Alone,47691.0,43,14,0,3,0,0,4,1,1,0,2,6,46,1,0.0440334654337296,0,Low Spenders
Undergraduate,Partner,38200.0,19,12,0,4,0,0,1,1,1,0,2,7,55,2,0.0445026178010471,0,Low Spenders
Undergraduate,Partner,44989.0,26,98,0,106,49,10,106,5,5,1,5,6,51,1,0.8202004934539554,0,Low Spenders
PhD,Partner,38443.0,58,32,0,5,0,0,1,2,1,0,3,7,57,2,0.0988476445646801,0,Low Spenders
Postgraduate,Alone,38593.0,42,51,12,49,17,24,24,3,4,1,3,8,47,1,0.4586323944756821,0,Low Spenders
PhD,Partner,64413.0,27,200,5,44,0,10,20,1,5,1,5,5,55,1,0.433142378091379,1,Moderate Spenders
Postgraduate,Partner,36959.0,56,25,6,25,6,0,0,2,2,0,3,8,44,1,0.1677534565329148,0,Low Spenders
PhD,Partner,61996.0,27,1050,12,144,0,0,24,3,6,4,8,5,48,1,1.983998967675334,1,Moderate Spenders
Undergraduate,Partner,51287.0,10,117,0,22,13,0,30,3,4,1,3,7,57,2,0.3548657554545986,0,Low Spenders
Undergraduate,Partner,13260.0,48,9,4,17,10,2,7,4,3,0,3,8,55,2,0.3695324283559577,0,Low Spenders
PhD,Partner,47472.0,39,56,0,11,0,0,8,2,2,0,4,5,59,2,0.1579878665318503,0,Low Spenders
Postgraduate,Partner,54603.0,85,145,13,46,17,2,4,6,4,2,4,7,69,2,0.4157280735490724,1,Moderate Spenders
PhD,Partner,45207.0,64,203,0,10,0,0,2,5,3,1,6,6,51,2,0.4755900634857433,0,Low Spenders
Undergraduate,Partner,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,74,1,1.0912040109120402,0,Low Spenders
Postgraduate,Partner,47821.0,54,9,0,16,6,6,10,1,1,0,3,8,58,2,0.0982831810292549,0,Low Spenders
Postgraduate,Partner,27450.0,57,37,12,23,8,11,52,1,2,1,3,7,74,0,0.5209471766848817,0,Low Spenders
Undergraduate,Partner,39453.0,64,46,0,7,0,0,2,2,2,0,3,6,42,1,0.1394063822776468,0,Low Spenders
Postgraduate,Partner,26850.0,10,31,1,13,7,2,9,4,2,1,4,4,54,2,0.2346368715083798,0,Low Spenders
Undergraduate,Alone,79800.0,65,1060,21,530,32,0,224,1,5,11,5,3,70,0,2.3395989974937343,1,Moderate Spenders
Postgraduate,Partner,61794.0,74,264,47,188,54,47,11,2,4,4,10,2,64,1,0.988769136162087,1,Moderate Spenders
Undergraduate,Partner,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,70,1,0.8781538347288491,1,Moderate Spenders
Undergraduate,Partner,24221.0,94,8,9,9,2,5,22,1,1,1,3,4,66,0,0.2270756781305478,0,Low Spenders
PhD,Alone,39684.0,41,19,0,35,6,4,17,2,2,1,2,7,41,1,0.2041124886604172,0,Low Spenders
Postgraduate,Partner,92163.0,25,817,183,797,106,163,20,0,5,11,5,2,50,0,2.263381183338216,1,Moderate Spenders
Postgraduate,Alone,69882.0,94,292,127,635,132,127,165,1,3,7,9,1,60,0,2.11499384677027,1,Moderate Spenders
Undergraduate,Partner,33178.0,9,12,6,2,11,2,16,1,1,0,3,4,48,1,0.1476882271384652,0,Low Spenders
PhD,Partner,59973.0,47,130,30,168,20,34,0,1,3,4,7,1,53,0,0.636953295649709,1,Moderate Spenders
Postgraduate,Partner,17459.0,12,6,4,16,3,10,30,3,3,1,2,7,50,1,0.3952116386963743,0,Low Spenders
Undergraduate,Alone,23910.0,80,16,12,18,7,1,13,1,2,0,3,7,56,1,0.2802174822250105,0,Low Spenders
Postgraduate,Partner,42169.0,20,19,0,9,0,0,2,2,1,0,3,8,56,2,0.0711423083307643,0,Low Spenders
Postgraduate,Partner,26224.0,39,4,7,15,13,9,15,3,2,1,3,6,47,1,0.2402379499694936,0,Low Spenders
Undergraduate,Partner,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,44,1,0.2541091704461385,0,Low Spenders
Undergraduate,Alone,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,64,1,0.1396230178518001,0,Low Spenders
Undergraduate,Partner,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,65,1,1.3039947776521723,1,Moderate Spenders
Undergraduate,Alone,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,70,0,1.5787452335884564,1,Moderate Spenders
PhD,Partner,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,77,2,0.9663721997169212,1,Moderate Spenders
Postgraduate,Partner,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,59,2,0.2599862952960619,0,Low Spenders
Postgraduate,Alone,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,39,1,0.9731359649122808,0,Low Spenders
Undergraduate,Alone,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,52,1,0.1579108628532371,0,Low Spenders
Undergraduate,Alone,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,69,3,0.1070745697896749,0,Low Spenders
Undergraduate,Partner,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,50,1,0.1460991526249147,0,Low Spenders
Undergraduate,Partner,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,60,0,1.4697910506603586,1,Moderate Spenders
Postgraduate,Alone,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,56,0,0.9971350969230196,0,Low Spenders
Postgraduate,Alone,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,81,0,0.5910323068035372,0,Low Spenders
Undergraduate,Partner,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,52,1,0.1949625882600906,0,Low Spenders
Undergraduate,Partner,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,58,3,0.1639053778683441,0,Low Spenders
PhD,Alone,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,56,0,1.828358208955224,0,Low Spenders
Undergraduate,Partner,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,51,2,0.813753081571656,0,Low Spenders
Postgraduate,Alone,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,60,3,0.0977899471934285,0,Low Spenders
PhD,Partner,118350.5,31,85,1,16,2,1,2,0,0,0,1,1,49,2,0.0658879166487065,1,Moderate Spenders
Undergraduate,Alone,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,47,2,0.0775451423507256,1,Moderate Spenders
Postgraduate,Partner,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,65,1,1.0680820391848502,0,Low Spenders
PhD,Partner,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,64,1,0.7418833553694726,1,Moderate Spenders
Undergraduate,Alone,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,54,0,0.3003287809812848,0,Low Spenders
Undergraduate,Alone,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,76,0,1.2987911145536528,1,Moderate Spenders
Postgraduate,Alone,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,47,1,0.0892494929006085,0,Low Spenders
Postgraduate,Partner,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,70,0,1.3505885592345288,1,Moderate Spenders
Undergraduate,Partner,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,49,1,0.2642395772166764,0,Low Spenders
Undergraduate,Alone,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,50,1,1.4691909354363628,1,Moderate Spenders
Undergraduate,Partner,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,65,1,2.5714728551098336,1,Moderate Spenders
PhD,Alone,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,48,2,0.2986632644184765,0,Low Spenders
Undergraduate,Alone,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,48,1,0.6639090687893219,0,Low Spenders
PhD,Partner,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,55,1,2.295755891378612,1,Moderate Spenders
PhD,Partner,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,67,0,1.4704984119227948,1,Moderate Spenders
Postgraduate,Partner,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,55,1,1.423174206768482,1,Moderate Spenders
Postgraduate,Alone,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,65,0,0.2886585138742318,0,Low Spenders
Undergraduate,Alone,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,52,0,1.8911543548982923,1,Moderate Spenders
Undergraduate,Alone,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,63,3,0.0347056526831807,0,Low Spenders
Undergraduate,Alone,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,73,0,1.6257951616335988,1,Moderate Spenders
Undergraduate,Partner,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,63,1,0.6995247503604421,1,Moderate Spenders
Postgraduate,Alone,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,75,1,2.339987325728771,1,Moderate Spenders
Undergraduate,Partner,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,54,1,1.5999240070022118,1,Moderate Spenders
Undergraduate,Partner,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,65,1,1.5856486959814458,1,Moderate Spenders
PhD,Partner,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,77,0,1.7704229051746785,1,Moderate Spenders
PhD,Alone,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,66,1,2.079256749232409,1,Moderate Spenders
Undergraduate,Alone,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,61,1,1.0586851391974903,0,Low Spenders
Postgraduate,Partner,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,78,0,2.900865622423743,1,Moderate Spenders
PhD,Partner,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,54,2,0.5057787917267503,0,Low Spenders
Undergraduate,Partner,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,55,0,1.6345725365266282,1,Moderate Spenders
Postgraduate,Alone,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,55,1,0.4250931587135053,1,Moderate Spenders
Postgraduate,Partner,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,48,1,1.3873713632321178,1,Moderate Spenders
Undergraduate,Partner,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,67,1,0.8955536285620309,1,Moderate Spenders
Postgraduate,Alone,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,65,0,2.03286190104984,1,Moderate Spenders
Undergraduate,Partner,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,40,1,0.1649314503659416,0,Low Spenders
Undergraduate,Partner,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,51,1,1.740677589146712,1,Moderate Spenders
PhD,Partner,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,75,1,0.1323692113165797,0,Low Spenders
Undergraduate,Alone,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,70,1,0.7384030264408975,0,Low Spenders
Undergraduate,Alone,118350.5,81,1,1,1,1,1,1,0,0,0,0,0,50,0,0.0038980275980353,1,Moderate Spenders
Undergraduate,Partner,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,72,1,0.2692646626848134,1,Moderate Spenders
Postgraduate,Partner,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,67,0,0.7927519818799547,0,Low Spenders
PhD,Partner,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,78,1,1.498788650268961,1,Moderate Spenders
PhD,Alone,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,59,3,0.4771686566525441,0,Low Spenders
Undergraduate,Partner,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,62,1,1.0612767319076315,1,Moderate Spenders
Undergraduate,Partner,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,40,1,0.1100770539377564,0,Low Spenders
Undergraduate,Alone,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,50,1,1.8241042345276872,1,Moderate Spenders
Undergraduate,Partner,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,45,0,0.2849990371654149,0,Low Spenders
Postgraduate,Partner,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,69,0,0.1773412454812086,0,Low Spenders
Undergraduate,Partner,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,66,0,0.3210272873194221,0,Low Spenders
PhD,Partner,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,51,1,0.044377385284459,0,Low Spenders
Undergraduate,Alone,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,38,1,0.2801120448179272,0,Low Spenders
PhD,Partner,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,57,1,0.11649021824785,0,Low Spenders
Postgraduate,Partner,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,54,2,0.3620405924300603,1,Moderate Spenders
PhD,Partner,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,61,1,1.7671657898286792,1,Moderate Spenders
Postgraduate,Alone,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,63,2,0.968825425759954,1,Moderate Spenders
Undergraduate,Alone,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,55,1,1.542011958460086,1,Moderate Spenders
Undergraduate,Partner,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,45,1,0.8661590371414167,1,Moderate Spenders
PhD,Alone,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,50,1,1.881628463906945,1,Moderate Spenders
Undergraduate,Partner,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,51,2,0.0411199581324062,0,Low Spenders
PhD,Partner,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,62,1,1.5264452644526445,1,Moderate Spenders
Undergraduate,Alone,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,46,0,0.8189146537384306,1,Moderate Spenders
Postgraduate,Partner,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,40,1,0.4758611149536589,0,Low Spenders
PhD,Alone,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,45,0,1.0169231947316026,1,Moderate Spenders
Undergraduate,Alone,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,62,1,1.3623418186088845,1,Moderate Spenders
Undergraduate,Alone,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,58,0,3.0170344616906446,1,Moderate Spenders
Postgraduate,Partner,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,43,0,1.13794195765004,0,Low Spenders
Undergraduate,Partner,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,70,1,0.6598880501206799,0,Low Spenders
Undergraduate,Partner,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,58,0,1.7422503306626935,1,Moderate Spenders
PhD,Alone,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,49,1,1.036464287863289,1,Moderate Spenders
PhD,Alone,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,53,0,2.4338855820486547,1,Moderate Spenders
PhD,Partner,118350.5,21,55,16,1622,17,3,4,15,0,28,1,0,43,0,1.067766148641505,1,Moderate Spenders
PhD,Partner,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,36,0,1.7290770120110477,1,Moderate Spenders
PhD,Partner,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,56,0,1.5026771834878232,1,Moderate Spenders
PhD,Alone,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,65,1,0.9740965402778052,0,Low Spenders
Undergraduate,Alone,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,55,0,1.5634955643777877,1,Moderate Spenders
Postgraduate,Partner,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,67,1,0.6380716058135413,0,Low Spenders
Undergraduate,Partner,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,73,0,0.2216447569550596,0,Low Spenders
Postgraduate,Alone,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,76,2,0.2543619928526382,0,Low Spenders
Postgraduate,Partner,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,64,2,0.2034785136379051,1,Moderate Spenders
Undergraduate,Alone,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,30,0,0.0660464047783138,0,Low Spenders
PhD,Alone,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,76,2,0.214948336978656,0,Low Spenders
Undergraduate,Alone,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,64,0,1.3844747268056945,0,Low Spenders
Undergraduate,Partner,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,65,0,1.2795024723454147,1,Moderate Spenders
Undergraduate,Alone,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,52,1,0.9302797176208158,1,Moderate Spenders
Undergraduate,Partner,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,47,2,0.8596189116160555,1,Moderate Spenders
Undergraduate,Alone,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,47,1,2.0458449494522823,1,Moderate Spenders
Postgraduate,Alone,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,37,0,1.7961815905237846,1,Moderate Spenders
Postgraduate,Alone,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,57,1,0.4524011128583524,0,Low Spenders
Undergraduate,Partner,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,39,1,2.0055036691127417,1,Moderate Spenders
PhD,Alone,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,55,1,0.1597444089456869,0,Low Spenders
Undergraduate,Alone,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,74,1,1.4750492069005443,0,Low Spenders
PhD,Partner,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,77,1,1.4282485875706217,1,Moderate Spenders
Postgraduate,Partner,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,54,1,0.1677184604013872,0,Low Spenders
Undergraduate,Partner,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,39,1,0.0712814826548392,0,Low Spenders
Postgraduate,Alone,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,60,1,1.6343891402714934,1,Moderate Spenders
Undergraduate,Alone,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,50,1,0.3368522361574784,0,Low Spenders
Undergraduate,Partner,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,72,0,1.0205828966745438,1,Moderate Spenders
Undergraduate,Partner,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,43,1,0.4634786760025461,0,Low Spenders
PhD,Partner,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,50,0,1.97212143360568,1,Moderate Spenders
Postgraduate,Alone,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,65,0,1.319512055437833,1,Moderate Spenders
Undergraduate,Partner,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,47,1,0.1856794708135081,0,Low Spenders
Undergraduate,Alone,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,55,1,2.0183955033214103,1,Moderate Spenders
Undergraduate,Alone,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,67,2,0.0465013286093888,0,Low Spenders
Postgraduate,Partner,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,60,1,1.2900034756570329,1,Moderate Spenders
Undergraduate,Partner,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,71,0,1.4701155453299726,1,Moderate Spenders
PhD,Partner,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,41,1,0.0842637455234885,0,Low Spenders
Undergraduate,Partner,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,60,0,2.6970494528328026,1,Moderate Spenders
Undergraduate,Partner,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,49,1,0.9466666666666668,0,Low Spenders
Undergraduate,Partner,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,59,1,0.1451087199178461,0,Low Spenders
Undergraduate,Partner,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,70,0,1.7165246594937498,1,Moderate Spenders
Postgraduate,Alone,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,49,0,1.3691142750493257,1,Moderate Spenders
Postgraduate,Partner,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,60,3,0.7215336540149574,1,Moderate Spenders
Undergraduate,Partner,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,34,0,0.9300152406803796,1,Moderate Spenders
PhD,Alone,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,76,2,0.0306014577421688,0,Low Spenders
PhD,Partner,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,72,2,0.8956393558860298,1,Moderate Spenders
Undergraduate,Partner,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,47,2,0.9130218612990222,1,Moderate Spenders
PhD,Alone,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,77,3,0.6301029463968761,0,Low Spenders
Undergraduate,Alone,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,52,2,1.6411354159698532,1,Moderate Spenders
Undergraduate,Partner,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,76,0,2.328358208955224,1,Moderate Spenders
Undergraduate,Partner,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,52,1,1.97977221497212,1,Moderate Spenders
Postgraduate,Partner,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,73,1,0.4734566588702246,1,Moderate Spenders
Undergraduate,Partner,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,36,1,0.1029336078229542,0,Low Spenders
Undergraduate,Partner,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,56,1,2.127794917464457,1,Moderate Spenders
PhD,Alone,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,72,1,1.7142946278155613,1,Moderate Spenders
Postgraduate,Partner,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,69,2,0.277610829684325,0,Low Spenders
PhD,Alone,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,75,3,0.1291857198515389,0,Low Spenders
Postgraduate,Partner,38702.0,71,13,11,24,13,8,40,2,3,0,4,6,47,1,0.281639191773035,0,Low Spenders
Undergraduate,Partner,82224.0,83,307,26,360,138,31,40,1,6,9,5,3,61,0,1.0970033080365829,1,Moderate Spenders
Undergraduate,Partner,83844.0,57,901,31,345,75,31,191,1,4,4,11,1,73,0,1.8772959305376653,1,Moderate Spenders
Postgraduate,Partner,17003.0,37,2,5,12,4,8,7,3,2,0,4,5,50,1,0.2234899723578192,0,Low Spenders
Undergraduate,Alone,71163.0,30,283,17,372,138,106,44,1,3,8,12,1,30,0,1.349015640150078,1,Moderate Spenders
Undergraduate,Alone,33697.0,34,4,3,7,0,3,11,1,1,0,2,7,55,1,0.0830934504555301,0,Low Spenders
Postgraduate,Partner,63564.0,0,769,80,252,15,34,65,1,10,10,7,6,71,0,1.9114593165942988,1,Moderate Spenders
PhD,Partner,83443.0,89,518,42,742,55,56,84,1,6,10,5,2,53,0,1.7940390446172836,1,Moderate Spenders
PhD,Partner,51518.0,92,350,8,66,17,4,4,2,3,2,10,3,67,1,0.8715400442563763,0,Low Spenders
Undergraduate,Alone,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,50,1,1.8241042345276872,1,Moderate Spenders
Undergraduate,Partner,80952.0,20,778,178,689,41,27,44,1,8,5,11,8,56,0,2.1704219784563694,1,Moderate Spenders
Undergraduate,Partner,75507.0,56,709,93,374,104,80,80,1,8,6,6,3,46,0,1.907107950256268,1,Moderate Spenders
Postgraduate,Partner,63855.0,28,359,35,314,93,116,89,1,7,3,13,4,47,0,1.5754443661420403,1,Moderate Spenders
PhD,Partner,62220.0,55,799,12,375,16,12,12,5,7,6,5,6,53,1,1.9704275152684023,1,Moderate Spenders
Undergraduate,Partner,58512.0,25,895,10,101,13,0,152,5,3,4,8,8,61,1,2.0012988788624555,1,Moderate Spenders
Postgraduate,Partner,40662.0,0,40,2,23,0,4,23,2,2,1,3,4,46,1,0.2262554719394028,0,Low Spenders
PhD,Partner,38829.0,86,76,0,7,0,0,16,1,3,2,2,5,66,1,0.2549640732442246,0,Low Spenders
